WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
451,275,1685,0.00433378,0.026554251,63455,5084805114
452,470,1771,0.009722395,0.03663481,48342,5095572444
453,277,598,0.007349235,0.015865857,37691,5095527153
457,279,1131,0.005840363,0.023675452,47771,5105770853
459,622,2747,0.018087179,0.079880194,34389,5084888142
46,0,201,0,0.01005201,19996,5094510040
460,603,520,0.022704168,0.01957905,26559,5084833145
461,214,325,0.006312684,0.009587021,33900,5084746517
462,200,2233,0.005767512,0.064394267,34677,5105716331
463,148,960,0.007215992,0.046806436,20510,5105712485
464,197,1563,0.005222278,0.041433608,37723,5105843060
465,79,1178,0.002360675,0.035200956,33465,5094512004
466,0,648,0,0.01775829,36490,5095544001
467,219,363,0.006353166,0.010530591,34471,5105780141
468,141,72,0.00493352,0.002519244,28580,5105481348
469,729,432,0.027982497,0.01658222,26052,5084873861
47,50,4062,0.001270357,0.103203842,39359,5094653031
470,273,802,0.00915493,0.026894702,29820,5084808223
471,125,424,0.005013637,0.017006257,24932,5095521318
473,39,0,0.001194085,0,32661,5105434271
474,107,61,0.00380661,0.002170123,28109,5105727441
475,706,1402,0.012563619,0.024949283,56194,5115104738
476,167,376,0.003976759,0.00895366,41994,5115102138
477,212,186,0.003805899,0.003339138,55703,5115131846
478,1081,661,0.026965003,0.016488314,40089,5105705168
479,108,636,0.004664421,0.027468256,23154,5105866835
480,211,3663,0.005910364,0.102605042,35700,5105835601
481,29,109,0.000920109,0.003458341,31518,5105751185
482,64,1750,0.000875489,0.023939154,73102,5105777107
484,379,1927,0.009668367,0.049158163,39200,5115160683
485,52,1829,0.001024732,0.03604296,50745,5094582127
486,449,1471,0.0151951,0.049781719,29549,5094512322
488,305,3679,0.006934182,0.083642151,43985,5105774243
489,94,280,0.003462374,0.010313455,27149,5095514455
490,28,650,0.000888945,0.020636231,31498,5084817060
491,176,166,0.005626598,0.005306905,31280,5084832272
492,56,247,0.002068023,0.009121459,27079,5084845750
493,82,836,0.002705735,0.027585297,30306,5084882675
494,34,403,0.00146476,0.017361709,23212,5084837327
496,196,339,0.005650695,0.009773396,34686,5105775686
497,38,7615,0.000582375,0.116704981,65250,5105704266
5,243,1039,0.005625781,0.024054267,43194,5104950107
50,17,82,0.002109966,0.010177485,8057,5105054716
500,969,2202,0.021938464,0.04985397,44169,5115126718
501,537,1150,0.011952723,0.02559708,44927,5115117428
502,574,1552,0.013082919,0.035374026,43874,5115135120
503,266,732,0.00412205,0.011343385,64531,5115123382
505,716,1115,0.012229073,0.019043878,58549,5105842517
509,633,4208,0.01106624,0.073565147,57201,5115158727
51,0,0,0,0,40901,5105067868
510,259,677,0.008925187,0.023329543,29019,5115152643
511,26,1825,0.000861212,0.06045048,30190,5105718880
512,0,248,0,0.008497516,29185,5105705446
514,57,425,0.001507338,0.011238926,37815,5095551708
515,273,1428,0.004034523,0.021103656,67666,5095548468
516,172,964,0.005377353,0.030138185,31986,5095500171
517,426,1108,0.009872309,0.025677273,43151,5105420825
519,173,2901,0.004091866,0.068615625,42279,5105867236
52,177,1183,0.004838445,0.032338308,36582,5084866710
520,503,3623,0.009692088,0.069810012,51898,5095537060
521,426,1774,0.011404401,0.047491567,37354,5105724456
522,81,140,0.001252823,0.002165373,64654,5105764723
523,113,721,0.00194989,0.012441331,57952,5105721378
524,98,5560,0.002166368,0.122908239,45237,5112236813
525,100,6464,0.001550844,0.100246584,64481,5112244477
526,170,214,0.006024737,0.007584081,28217,5084832220
527,144,478,0.004281,0.014210542,33637,5084881565
529,212,848,0.004899808,0.019599233,43267,5115168768
531,0,5213,0,0.097090814,53692,5112240281
532,121,297,0.002786413,0.006839378,43425,5112271730
533,25,1192,0.000578717,0.027593231,43199,5112236688
534,274,486,0.006484593,0.01150187,42254,5105708420
535,9,1411,0.000354568,0.055588386,25383,5084801712
536,54,1460,0.003002502,0.08117876,17985,5084810202
537,52,892,0.002041377,0.035017469,25473,5084854700
538,132,266,0.004554394,0.009177794,28983,5084807061
539,36,2822,0.000510161,0.03999093,70566,5105734480
54,108,663,0.003113469,0.019113238,34688,5115230077
543,3684,105,0.071110082,0.002026753,51807,5095551504
546,2090,63,0.045385451,0.001368078,46050,5105771026
547,117,5713,0.001990304,0.097184656,58785,5105728800
548,15,964,0.000321295,0.020648588,46686,5105766187
549,105,4264,0.002018804,0.081982658,52011,5095531705
55,230,2429,0.006227999,0.065773084,36930,5115266805
550,44,656,0.001877293,0.027988736,23438,5084877577
551,4,1878,0.000142334,0.066825606,28103,5084843353
552,62,481,0.002977191,0.023097239,20825,5084770117
553,30,167,0.000728686,0.004056352,41170,5105783448
554,111,2275,0.002547566,0.052213628,43571,5105401487
555,92,236,0.002435538,0.006247684,37774,5112282147
556,183,4087,0.003541981,0.079104247,51666,5112216275
558,29,158,0.001159536,0.006317473,25010,5084864540
559,42,5342,0.00117145,0.148997295,35853,5084780027
56,86,2189,0.002947123,0.075014564,29181,5115107251
561,1186,6688,0.019423518,0.109531608,61060,5084820445
562,0,15155,0,0.37201139,40738,5105755741
563,0,0,0,0,65455,5084805850
565,226,2053,0.003567144,0.032404192,63356,5105706141
566,310,933,0.005467276,0.016454736,56701,5105744422
57,72,4182,0.00203476,0.118185672,35385,5115108676
570,27,1159,0.000401905,0.017252158,67180,5095584221
571,15,9430,0.000338448,0.212770758,44320,5105776077
572,0,201,0,0.00563894,35645,5105736614
576,82,98,0.001847221,0.002207655,44391,5105722638
579,102,4117,0.002049139,0.082708882,49777,5105722131
58,638,7072,0.006327356,0.070136465,100832,5115271750
583,0,12900,0,0.270015699,47775,5105756648
584,475,2532,0.00970041,0.051708293,48967,5105763001
585,11,1320,0.000277932,0.033351862,39578,5105472430
586,62,1125,0.001567596,0.028444287,39551,5105723560
588,0,1812,0,0.046436534,39021,5105774416
589,298,2505,0.004987531,0.041925388,59749,5105781886
59,1378,1464,0.026247119,0.027885183,52501,5115273523
590,0,1574,0,0.034581246,45516,5105461538
591,278,376,0.006792748,0.009187314,40926,5105528475
592,113,427,0.002857287,0.010797006,39548,5105514013
595,103,2118,0.003497572,0.071920948,29449,5105415540
596,32,245,0.000642106,0.004916125,49836,5105441520
597,88,2462,0.003375786,0.094445297,26068,3438341201
598,0,2591,0,0.076729448,33768,4327032638
599,3094,33013,0.004882853,0.052100068,633646,4342304523
60,27,1643,0.000917587,0.055836873,29425,5084810540
600,106,4088,0.002081452,0.080273338,50926,5105567182
